Claim_ID,Age,Annual_Income,Policy_Tenure_Years,Claim_Amount,Number_of_Previous_Claims,Days_to_Report,Policy_Premium,Vehicle_Age,Num_Policy_Changes,Hospitalization_Days,Claim_History,Claim_Type,Incident_Type,Policy_Type,Documentation_Complete,Fraud
CLM004747,59,59941,4.7,45180,0,49,48224,5,2,1,Frequent,Life,Loss,Basic,Yes,1
CLM004748,70,111803,18.2,190292,2,41,23758,7,1,8,Minor,Property,Accident,Premium,Yes,1
CLM004749,29,125913,15.7,170083,3,58,28953,0,0,3,Clean,Life,Theft,Premium,Yes,1
CLM004750,35,137906,11.1,233934,0,54,3530,15,0,15,Clean,Property,Loss,Basic,No,1
CLM004751,24,214431,19.1,267275,1,16,12369,17,0,10,Clean,Property,Accident,Standard,Yes,1
CLM004752,44,193533,8.9,96576,1,50,39631,2,1,13,Clean,Travel,Loss,Standard,Yes,1
CLM004753,50,21451,11.2,90983,4,9,2585,6,1,17,Frequent,Travel,Damage,Standard,Yes,0
CLM004754,63,87318,3.1,150134,1,53,6453,19,0,18,Clean,Property,Accident,Premium,No,1
CLM004755,36,52730,15.7,292335,2,60,40949,14,1,17,Clean,Property,Theft,Basic,Yes,1
CLM004756,70,105765,15.3,258014,1,49,2426,5,0,12,Minor,Health,Damage,Premium,Yes,0
CLM004757,41,124303,19.6,142396,6,30,29431,13,1,24,Clean,Vehicle,Accident,Standard,Yes,0
CLM004758,53,205558,7.6,184024,0,44,29369,2,2,15,Clean,Travel,Medical,Standard,No,1
CLM004759,72,184310,7.3,219747,0,17,3615,19,0,4,Minor,Property,Loss,Basic,Yes,1
CLM004760,74,239330,19.2,291026,3,20,4852,7,0,28,Clean,Vehicle,Theft,Basic,Yes,1
CLM004761,23,187617,4.2,153989,1,15,46407,7,0,21,Clean,Property,Loss,Premium,Yes,0
CLM004762,75,102600,13.1,195782,4,10,26466,11,1,4,Clean,Travel,Damage,Standard,No,1
CLM004763,39,100021,13.6,134513,1,51,28478,15,0,5,Minor,Travel,Accident,Premium,Yes,1
CLM004764,78,136302,15.3,147716,2,24,25110,5,0,5,Minor,Vehicle,Theft,Premium,No,1
CLM004765,47,167700,17.6,120246,0,14,38166,18,2,10,Minor,Travel,Medical,Basic,No,1
CLM004766,74,180341,16.7,119629,1,57,26615,5,0,4,Clean,Travel,Accident,Basic,Yes,1
CLM004767,34,229962,6.8,7301,2,49,19349,11,1,11,Clean,Property,Accident,Standard,Yes,1
CLM004768,61,174137,3.1,132659,0,21,21328,14,0,4,Clean,Vehicle,Accident,Basic,Yes,1
CLM004769,19,66221,17.1,295325,0,58,2383,4,1,26,Clean,Life,Accident,Basic,No,1
CLM004770,18,223786,2.4,137311,2,26,21729,1,2,30,Frequent,Vehicle,Loss,Basic,Yes,1
CLM004771,47,228291,0.7,170932,0,7,15670,18,2,27,Clean,Health,Medical,Standard,Yes,0
CLM004772,64,105497,19.9,147254,3,40,34102,5,1,17,Clean,Health,Loss,Standard,No,1
CLM004773,49,98982,18.2,12000,4,34,25174,18,2,0,Clean,Health,Accident,Basic,Yes,1
CLM004774,34,131786,5.2,104912,1,52,13529,11,2,18,Clean,Travel,Theft,Standard,Yes,1
CLM004775,23,55517,1.9,128746,3,25,43694,8,1,7,Clean,Property,Medical,Standard,No,1
CLM004776,74,34551,17.8,205115,0,7,38988,11,2,10,Clean,Life,Accident,Basic,Yes,0
CLM004777,31,221892,1.8,51760,1,24,20196,19,0,13,Frequent,Vehicle,Medical,Premium,Yes,1
CLM004778,41,161976,13.9,254975,2,48,24879,17,3,4,Clean,Health,Damage,Basic,Yes,1
CLM004779,52,228750,0.5,18804,2,59,20220,9,2,3,Minor,Travel,Loss,Basic,Yes,1
CLM004780,55,167965,17.0,283485,1,47,15072,8,0,12,Minor,Life,Accident,Basic,Yes,1
CLM004781,30,145796,6.1,254136,1,20,38993,2,1,6,Minor,Vehicle,Loss,Basic,Yes,1
CLM004782,31,45700,7.7,57444,0,37,6488,15,1,18,Clean,Property,Damage,Basic,No,1
CLM004783,27,127910,11.6,179420,0,18,19543,2,1,8,Clean,Health,Medical,Standard,Yes,0
CLM004784,66,149998,17.3,11610,1,44,9216,19,2,7,Frequent,Health,Theft,Standard,Yes,1
CLM004785,35,54226,8.9,104817,1,16,47185,1,1,8,Clean,Life,Damage,Standard,Yes,0
CLM004786,72,199213,16.7,78551,0,54,9564,16,0,5,Minor,Travel,Accident,Basic,Yes,0
CLM004787,78,96741,11.6,193273,0,39,37868,1,0,9,Minor,Travel,Accident,Standard,No,0
CLM004788,30,35568,5.1,140321,1,39,17272,19,2,1,Minor,Travel,Accident,Premium,Yes,1
CLM004789,54,136310,9.2,7198,4,16,18476,14,0,9,Frequent,Life,Accident,Basic,No,0
CLM004790,44,246663,9.0,87791,0,56,40463,12,0,15,Frequent,Health,Theft,Standard,Yes,0
CLM004791,20,164375,8.0,204356,2,6,3053,2,1,13,Clean,Health,Accident,Standard,Yes,1
CLM004792,77,106501,13.1,142493,0,47,21458,17,1,19,Clean,Property,Accident,Standard,Yes,0
CLM004793,64,110612,1.9,7198,1,55,30035,13,0,26,Clean,Vehicle,Loss,Premium,Yes,1
CLM004794,62,25186,11.5,232421,3,5,43317,13,0,20,Clean,Property,Loss,Premium,Yes,1
CLM004795,79,84862,18.0,168440,3,54,14918,3,2,16,Clean,Property,Damage,Standard,No,1
CLM004796,64,27344,7.7,87942,0,19,5350,17,3,19,Clean,Health,Damage,Basic,Yes,0
CLM004797,43,73857,3.3,79182,1,57,44459,4,1,30,Clean,Vehicle,Loss,Standard,Yes,1
CLM004798,37,240791,2.1,284998,1,58,13289,4,1,4,Clean,Life,Loss,Basic,Yes,1
CLM004799,66,231123,2.3,71891,0,22,34526,10,0,5,Minor,Vehicle,Damage,Basic,Yes,0
CLM004800,78,172381,1.3,183459,1,6,23655,18,0,14,Clean,Travel,Medical,Premium,Yes,1
CLM004801,77,155440,13.2,152965,2,44,11020,0,1,12,Minor,Life,Theft,Basic,Yes,1
CLM004802,34,248713,1.4,135031,1,31,10832,2,0,5,Clean,Property,Accident,Standard,Yes,1
CLM004803,54,200076,1.1,60797,0,20,32049,11,1,3,Frequent,Property,Theft,Standard,Yes,0
CLM004804,48,82555,15.1,272321,1,13,42367,17,2,3,Minor,Travel,Damage,Standard,Yes,1
CLM004805,65,232480,3.2,270155,1,35,47343,16,1,2,Minor,Vehicle,Theft,Basic,Yes,1
CLM004806,77,177169,12.3,108890,0,27,5192,10,1,1,Clean,Vehicle,Medical,Basic,No,1
CLM004807,25,241190,6.4,200407,0,43,39952,5,2,7,Clean,Vehicle,Loss,Standard,Yes,1
CLM004808,46,118391,1.0,128649,2,8,46772,19,1,23,Clean,Health,Accident,Standard,Yes,1
CLM004809,55,173585,2.6,270675,1,33,35195,3,3,8,Clean,Health,Damage,Premium,No,1
CLM004810,51,239711,7.3,179900,0,42,34998,5,0,26,Clean,Health,Accident,Basic,Yes,1
CLM004811,58,196874,17.9,138778,2,51,49530,1,1,20,Frequent,Health,Medical,Standard,Yes,1
CLM004812,65,17007,18.4,124875,4,7,31405,17,0,16,Clean,Vehicle,Theft,Standard,Yes,0
CLM004813,55,21946,6.5,287678,0,39,34243,1,0,20,Clean,Life,Damage,Premium,Yes,1
CLM004814,45,190527,11.7,22230,2,46,32494,1,1,30,Clean,Travel,Loss,Standard,Yes,1
CLM004815,67,197280,1.5,286447,0,2,38741,16,1,13,Clean,Health,Theft,Premium,Yes,0
CLM004816,78,81145,19.2,93366,4,31,33400,17,2,0,Clean,Health,Medical,Premium,Yes,1
CLM004817,49,21415,19.1,285776,3,2,49019,10,1,1,Clean,Property,Damage,Basic,Yes,1
CLM004818,74,164500,5.7,9841,3,3,28279,12,1,10,Clean,Life,Loss,Basic,Yes,0
CLM004819,77,135089,10.6,11734,0,0,44516,12,0,22,Minor,Life,Damage,Standard,Yes,0
CLM004820,33,217610,7.2,135196,0,57,22055,14,1,27,Clean,Property,Damage,Basic,Yes,0
CLM004821,51,242100,9.0,246909,0,40,7013,8,1,0,Minor,Travel,Accident,Basic,Yes,1
CLM004822,22,83698,6.7,115555,4,13,36187,7,0,8,Clean,Life,Theft,Standard,Yes,1
CLM004823,73,220934,15.7,293528,1,2,4377,17,2,5,Minor,Property,Loss,Standard,Yes,1
CLM004824,38,60508,14.1,282476,1,54,41243,16,2,30,Clean,Travel,Medical,Standard,Yes,1
CLM004825,57,187290,16.5,74762,2,48,13246,3,2,22,Clean,Health,Theft,Standard,No,1
CLM004826,47,64991,11.6,114021,2,16,7294,11,1,14,Clean,Life,Medical,Premium,Yes,0
CLM004827,28,188531,8.8,76997,2,15,38627,14,0,3,Clean,Property,Accident,Standard,No,0
CLM004828,67,74554,14.4,199627,0,10,43995,14,1,15,Frequent,Life,Theft,Premium,Yes,0
CLM004829,53,151933,15.3,225597,3,46,16040,10,1,21,Clean,Travel,Theft,Premium,Yes,1
CLM004830,59,212154,5.8,218176,1,44,6985,19,0,24,Clean,Property,Damage,Standard,No,1
CLM004831,54,174820,5.4,270666,1,1,21955,10,0,0,Minor,Travel,Medical,Basic,No,1
CLM004832,22,193888,3.9,159634,0,27,25905,16,0,14,Minor,Property,Accident,Standard,Yes,1
CLM004833,47,247812,2.9,44933,2,56,28637,0,2,3,Minor,Life,Medical,Basic,Yes,1
CLM004834,47,78396,12.4,3586,2,52,9881,15,2,27,Clean,Life,Theft,Standard,Yes,0
CLM004835,60,212781,15.9,185275,1,55,40388,19,1,18,Minor,Property,Accident,Standard,Yes,1
CLM004836,18,172664,17.6,63639,0,26,25978,2,0,23,Minor,Health,Accident,Basic,No,1
CLM004837,52,45824,14.5,167889,2,43,33447,10,1,17,Clean,Property,Damage,Basic,Yes,0
CLM004838,72,211682,2.7,94349,0,60,23595,15,3,23,Frequent,Life,Medical,Standard,Yes,1
CLM004839,34,206727,10.5,142570,1,47,25178,2,0,4,Clean,Health,Damage,Basic,Yes,1
CLM004840,59,125056,16.9,279775,1,21,18402,12,1,19,Clean,Health,Medical,Basic,Yes,1
CLM004841,69,130614,13.1,182842,2,60,47447,8,0,18,Minor,Vehicle,Theft,Basic,Yes,1
CLM004842,35,162565,15.2,294962,3,36,9266,2,0,7,Clean,Health,Theft,Standard,Yes,1
CLM004843,54,24413,7.6,256373,0,52,29171,18,1,28,Clean,Travel,Theft,Basic,Yes,0
CLM004844,69,139522,12.9,203903,1,56,27374,1,2,4,Frequent,Property,Damage,Basic,No,1
CLM004845,43,121455,11.8,3871,4,24,43643,6,0,15,Minor,Life,Accident,Basic,No,1
CLM004846,61,168489,4.9,294322,1,60,13376,4,0,3,Clean,Vehicle,Loss,Premium,Yes,1
CLM004847,66,113938,1.9,82843,0,12,14066,10,1,24,Minor,Travel,Theft,Basic,Yes,0
CLM004848,24,39205,8.3,271027,1,34,43122,11,1,1,Minor,Health,Theft,Standard,Yes,1
CLM004849,40,56388,18.4,199128,0,38,36517,17,1,9,Clean,Vehicle,Loss,Standard,Yes,1
CLM004850,47,128332,17.3,299954,1,6,10809,18,1,9,Clean,Property,Damage,Basic,Yes,0
CLM004851,37,167727,2.3,61649,2,29,44081,3,2,19,Frequent,Health,Loss,Standard,Yes,1
CLM004852,74,148058,14.1,163115,0,14,34867,10,0,6,Minor,Travel,Medical,Premium,Yes,1
CLM004853,45,200122,9.5,3639,2,21,22772,6,1,10,Minor,Property,Medical,Premium,Yes,0
CLM004854,51,90392,13.1,104272,1,31,33651,0,2,16,Clean,Vehicle,Theft,Basic,Yes,0
CLM004855,33,42203,7.8,72323,0,27,10551,19,0,18,Minor,Life,Damage,Standard,Yes,1
CLM004856,53,76763,11.7,184939,0,20,35348,15,0,6,Clean,Property,Damage,Standard,Yes,0
CLM004857,20,60991,9.8,186947,0,15,32657,6,1,19,Clean,Life,Damage,Basic,Yes,0
CLM004858,31,162546,15.9,20241,0,2,35789,4,2,5,Minor,Health,Theft,Standard,No,1
CLM004859,43,168201,12.4,202511,2,20,4690,8,0,23,Minor,Health,Medical,Standard,Yes,1
CLM004860,51,87149,6.5,143201,1,33,24722,8,1,23,Clean,Travel,Theft,Premium,Yes,0
CLM004861,44,30481,16.2,179014,0,20,38911,13,0,22,Minor,Property,Loss,Premium,Yes,0
CLM004862,51,41353,17.8,294508,2,16,47982,6,0,17,Minor,Property,Damage,Basic,Yes,0
CLM004863,24,23963,10.1,43091,3,27,7781,14,1,16,Clean,Vehicle,Medical,Premium,Yes,1
CLM004864,57,47520,9.7,246206,2,0,32665,10,2,16,Clean,Travel,Accident,Basic,Yes,0
CLM004865,71,165717,5.4,127507,1,26,5996,18,1,12,Minor,Property,Theft,Standard,Yes,0
CLM004866,61,196061,1.3,35122,1,60,11986,12,1,5,Minor,Travel,Accident,Standard,No,1
CLM004867,24,175850,10.8,165340,1,24,14470,4,0,20,Clean,Travel,Damage,Standard,Yes,1
CLM004868,29,161764,19.8,63089,0,21,19736,19,2,18,Minor,Health,Theft,Standard,Yes,1
CLM004869,37,70520,1.5,219099,0,11,47893,13,1,15,Minor,Life,Accident,Standard,Yes,0
CLM004870,48,166610,10.2,88909,0,8,18310,3,1,23,Minor,Vehicle,Accident,Basic,Yes,0
CLM004871,40,107522,6.5,189406,2,6,22902,11,2,17,Clean,Travel,Medical,Premium,Yes,0
CLM004872,33,192664,15.8,81395,1,15,10895,6,1,15,Clean,Property,Accident,Standard,Yes,0
CLM004873,52,227144,8.3,116310,4,58,12877,8,0,30,Clean,Property,Theft,Premium,No,1
CLM004874,29,142996,0.8,20276,2,9,4922,15,1,11,Clean,Vehicle,Medical,Basic,Yes,1
CLM004875,52,213486,4.4,60678,3,58,3711,4,1,19,Minor,Health,Damage,Standard,Yes,0
CLM004876,68,54300,1.4,226344,0,49,13662,5,0,12,Minor,Health,Loss,Standard,Yes,1
CLM004877,59,233953,19.4,47652,1,24,18740,5,1,7,Clean,Travel,Theft,Basic,No,0
CLM004878,52,113392,3.8,196161,2,53,28491,7,0,24,Clean,Property,Accident,Premium,Yes,1
CLM004879,49,237325,0.6,19466,0,12,26330,8,3,17,Clean,Travel,Theft,Basic,No,0
CLM004880,26,38641,10.9,144282,1,7,36182,11,1,23,Frequent,Travel,Accident,Premium,Yes,0
CLM004881,72,183824,5.8,152606,1,46,40146,7,2,0,Clean,Travel,Theft,Basic,Yes,1
CLM004882,65,34235,9.9,9082,2,42,43129,15,2,24,Clean,Health,Medical,Standard,Yes,1
CLM004883,25,198324,0.5,115838,1,13,2232,19,2,18,Clean,Life,Loss,Basic,No,0
CLM004884,77,133196,11.0,109735,0,48,4511,1,2,17,Minor,Property,Damage,Standard,Yes,1
CLM004885,29,230940,3.7,256214,0,50,32194,12,0,27,Clean,Property,Damage,Basic,Yes,1
CLM004886,66,231677,15.0,16426,0,37,19632,18,1,16,Clean,Travel,Theft,Standard,Yes,0
CLM004887,33,184633,7.7,145704,3,9,23511,10,1,11,Minor,Health,Accident,Premium,No,1
CLM004888,46,166514,19.4,150601,4,48,22210,2,0,5,Minor,Health,Damage,Standard,No,1
CLM004889,65,123476,5.7,283381,1,41,1774,12,4,21,Clean,Travel,Damage,Basic,Yes,1
CLM004890,78,111988,16.5,166107,2,9,16639,2,0,15,Clean,Travel,Loss,Basic,No,0
CLM004891,65,38880,7.3,196936,1,29,14691,7,1,3,Clean,Travel,Medical,Standard,No,1
CLM004892,50,220823,5.4,9499,4,5,40742,11,1,5,Clean,Vehicle,Damage,Premium,Yes,0
CLM004893,41,17877,13.7,142385,1,21,16378,9,2,24,Clean,Life,Accident,Basic,Yes,0
CLM004894,77,83605,12.6,161127,1,47,48103,15,0,26,Minor,Property,Theft,Standard,Yes,1
CLM004895,49,19217,19.0,225848,0,50,17599,9,1,14,Clean,Life,Damage,Standard,Yes,1
CLM004896,51,34267,19.8,155862,0,44,43761,15,2,4,Clean,Health,Medical,Basic,Yes,1
CLM004897,31,94555,15.7,53125,0,41,5103,19,1,13,Minor,Health,Damage,Standard,Yes,0
CLM004898,46,235187,18.3,126702,1,44,9511,5,0,8,Frequent,Vehicle,Loss,Standard,Yes,1
CLM004899,75,127775,9.0,283307,1,20,23436,3,3,29,Clean,Health,Medical,Basic,Yes,1
CLM004900,54,198136,9.5,137101,3,39,38754,5,4,7,Minor,Property,Damage,Basic,Yes,1
CLM004901,21,184935,5.5,12265,0,18,49058,1,1,25,Clean,Health,Loss,Standard,Yes,0
CLM004902,28,94069,9.2,3346,3,10,44611,13,3,21,Clean,Property,Theft,Standard,Yes,0
CLM004903,48,147653,7.2,220627,1,30,19774,1,0,16,Clean,Property,Medical,Basic,Yes,1
CLM004904,28,151176,3.9,69984,1,1,38454,2,2,13,Clean,Life,Damage,Standard,Yes,0
CLM004905,39,182013,18.6,177371,0,58,39132,13,1,21,Clean,Health,Theft,Standard,Yes,1
CLM004906,61,33771,18.5,240370,0,30,34263,5,2,3,Frequent,Property,Damage,Basic,Yes,1
CLM004907,51,60051,18.6,214799,1,55,39757,14,2,1,Frequent,Vehicle,Loss,Premium,Yes,1
CLM004908,75,36942,19.2,208581,0,8,28774,19,0,2,Minor,Travel,Accident,Standard,Yes,0
CLM004909,69,219221,0.7,170838,1,57,20358,4,2,12,Minor,Life,Medical,Basic,Yes,1
CLM004910,67,135863,2.9,16462,0,46,42514,0,0,7,Frequent,Health,Theft,Standard,Yes,0
CLM004911,38,232651,11.9,68343,1,47,10076,2,1,4,Clean,Property,Medical,Premium,Yes,0
CLM004912,67,41890,18.7,285733,2,0,36315,5,1,8,Clean,Health,Loss,Basic,Yes,1
CLM004913,45,92331,19.1,182087,0,36,7303,12,0,0,Clean,Health,Loss,Standard,Yes,1
CLM004914,23,122808,12.2,112317,0,55,39168,10,0,14,Clean,Property,Medical,Standard,Yes,1
CLM004915,79,238458,10.4,227812,1,52,45036,10,0,11,Minor,Health,Medical,Standard,Yes,1
CLM004916,33,24602,3.8,110786,5,13,44093,1,2,5,Clean,Property,Accident,Standard,Yes,0
CLM004917,60,221467,3.6,283176,2,33,21703,1,0,27,Minor,Travel,Theft,Premium,Yes,1
CLM004918,75,67652,14.7,217095,2,44,12157,3,0,2,Minor,Vehicle,Damage,Standard,Yes,1
CLM004919,65,28842,0.9,86501,0,0,44437,15,1,9,Clean,Life,Medical,Standard,Yes,0
CLM004920,62,164656,2.5,2022,2,21,4763,1,0,15,Clean,Life,Theft,Standard,Yes,0
CLM004921,22,80964,0.6,27134,2,47,13092,8,0,22,Clean,Vehicle,Medical,Premium,Yes,1
CLM004922,69,137706,4.1,234700,1,51,30967,3,0,23,Minor,Life,Accident,Basic,Yes,1
CLM004923,49,106620,11.0,60675,0,0,46297,7,0,7,Clean,Travel,Theft,Basic,Yes,0
CLM004924,22,69292,12.3,1021,1,3,7224,1,0,13,Minor,Travel,Theft,Standard,Yes,0
CLM004925,75,41134,7.3,62572,1,33,9329,12,1,20,Minor,Health,Medical,Premium,Yes,1
CLM004926,60,220082,2.6,159153,3,44,2136,19,0,15,Clean,Travel,Accident,Basic,Yes,1
CLM004927,52,207878,8.3,262133,2,19,24995,4,1,25,Clean,Travel,Accident,Basic,Yes,1
CLM004928,38,64482,13.5,172410,1,7,25019,3,0,25,Clean,Property,Loss,Basic,Yes,0
CLM004929,72,192269,1.3,15699,1,32,36404,15,2,16,Clean,Life,Damage,Premium,No,0
CLM004930,27,122321,2.6,214209,2,14,29425,15,1,27,Clean,Travel,Medical,Premium,Yes,1
CLM004931,32,33716,8.7,139804,1,43,15602,0,0,1,Clean,Health,Medical,Standard,Yes,0
CLM004932,44,183900,9.5,131868,2,6,17079,0,2,8,Frequent,Life,Damage,Basic,Yes,1
CLM004933,25,188304,5.2,283818,2,42,33503,10,2,29,Minor,Health,Medical,Standard,Yes,1
CLM004934,31,91602,9.2,213427,1,55,33796,0,3,23,Clean,Property,Theft,Standard,Yes,1
CLM004935,62,148682,4.9,184815,2,6,44066,10,0,4,Clean,Health,Loss,Standard,Yes,0
CLM004936,67,48093,18.3,47223,0,19,20003,11,2,25,Clean,Travel,Medical,Basic,No,0
CLM004937,41,28877,0.3,251436,0,19,13308,11,1,4,Clean,Vehicle,Theft,Standard,Yes,0
CLM004938,61,80923,1.1,142990,0,3,34808,14,0,4,Minor,Vehicle,Accident,Standard,Yes,0
CLM004939,28,151367,17.2,266867,2,30,37480,5,1,26,Frequent,Property,Medical,Standard,Yes,0
CLM004940,53,122684,14.5,204711,2,37,24435,10,0,17,Minor,Vehicle,Loss,Basic,Yes,0
CLM004941,67,153338,14.1,126639,1,46,31873,11,0,22,Clean,Travel,Accident,Standard,Yes,0
CLM004942,48,184925,1.8,250223,0,13,30130,17,1,15,Frequent,Life,Accident,Standard,No,1
CLM004943,79,86614,6.5,228247,1,48,41306,2,0,30,Clean,Travel,Medical,Basic,Yes,1
CLM004944,34,163290,0.4,77793,3,25,16364,3,0,0,Minor,Vehicle,Loss,Basic,No,1
CLM004945,45,120253,12.5,164697,1,42,46191,17,0,30,Clean,Health,Damage,Premium,Yes,0
CLM004946,24,69669,2.4,299705,1,59,44659,8,0,16,Frequent,Health,Medical,Premium,Yes,1
CLM004947,57,27859,15.9,252083,1,23,26267,8,0,2,Minor,Life,Accident,Standard,Yes,1
CLM004948,40,206273,0.8,119664,1,14,34144,5,0,11,Clean,Property,Accident,Standard,Yes,0
CLM004949,67,206510,9.9,67967,0,40,47692,15,0,29,Clean,Health,Accident,Basic,Yes,0
CLM004950,62,187461,12.9,177815,2,36,27793,3,0,20,Clean,Travel,Loss,Standard,Yes,0
CLM004951,31,205652,19.4,130810,2,54,25385,9,1,19,Minor,Vehicle,Loss,Premium,Yes,1
CLM004952,28,106465,12.2,74401,3,4,38442,4,1,19,Clean,Travel,Loss,Standard,Yes,0
CLM004953,33,106151,6.7,199937,0,34,44812,3,1,0,Minor,Vehicle,Theft,Basic,No,1
CLM004954,42,79294,5.2,42424,2,30,11545,15,1,13,Frequent,Health,Accident,Premium,Yes,1
CLM004955,63,108241,7.6,67215,1,2,32890,5,0,24,Clean,Life,Accident,Standard,Yes,0
CLM004956,59,17080,17.1,82989,2,51,5769,15,1,23,Frequent,Travel,Medical,Standard,Yes,1
CLM004957,19,231387,3.3,77258,1,59,31206,10,0,21,Minor,Health,Theft,Standard,Yes,1
CLM004958,59,181795,3.4,167415,1,33,38477,19,1,25,Clean,Property,Accident,Basic,Yes,1
CLM004959,54,124768,10.1,67800,1,24,13907,10,0,8,Minor,Vehicle,Damage,Standard,No,0
CLM004960,50,119640,19.4,5240,1,4,6021,9,1,24,Clean,Life,Damage,Premium,Yes,0
CLM004961,26,68180,5.7,207092,0,33,29360,15,2,2,Minor,Travel,Damage,Basic,Yes,1
CLM004962,47,167445,18.5,39279,2,27,28624,6,1,17,Frequent,Travel,Theft,Standard,Yes,1
CLM004963,21,25253,2.3,176985,1,51,34887,0,1,8,Clean,Property,Theft,Premium,Yes,1
CLM004964,36,90155,0.3,278086,2,10,29104,17,0,29,Clean,Travel,Damage,Premium,Yes,1
CLM004965,36,179602,9.0,251581,1,32,18065,16,0,1,Clean,Property,Medical,Standard,Yes,0
CLM004966,31,32200,8.5,260716,0,17,28705,10,0,6,Clean,Health,Accident,Standard,Yes,0
CLM004967,42,76481,9.0,53600,1,19,38476,8,3,14,Frequent,Property,Damage,Premium,Yes,0
CLM004968,56,244278,1.6,76924,2,30,7176,19,0,0,Frequent,Travel,Loss,Standard,Yes,1
CLM004969,21,20977,15.2,177201,1,54,3424,11,1,20,Frequent,Health,Theft,Basic,Yes,1
CLM004970,55,206380,15.6,267614,1,20,12524,11,0,4,Clean,Travel,Damage,Standard,No,1
CLM004971,44,62199,3.6,90186,1,53,8383,8,0,14,Clean,Vehicle,Theft,Standard,Yes,1
CLM004972,20,231096,15.1,94753,0,2,15476,10,1,19,Frequent,Health,Theft,Standard,Yes,0
CLM004973,64,47053,6.6,96837,1,33,14980,12,1,24,Clean,Life,Accident,Basic,Yes,0
CLM004974,55,195860,8.1,181792,0,60,6511,18,1,23,Clean,Vehicle,Medical,Premium,No,0
CLM004975,46,161395,18.9,221665,1,48,20823,9,2,2,Clean,Life,Accident,Standard,Yes,1
CLM004976,68,108051,16.7,220096,0,10,46103,12,1,0,Minor,Travel,Medical,Standard,Yes,1
CLM004977,18,237193,3.5,146498,0,7,40243,16,1,29,Clean,Property,Accident,Premium,Yes,0
CLM004978,71,79859,18.5,237048,1,2,39400,12,2,15,Frequent,Vehicle,Loss,Standard,Yes,0
CLM004979,62,195777,8.0,227528,0,1,44859,14,2,3,Clean,Property,Medical,Basic,Yes,0
CLM004980,68,85283,4.0,44785,1,57,41490,0,1,25,Minor,Property,Damage,Basic,Yes,1
CLM004981,78,106752,4.8,130382,1,59,1342,16,0,29,Minor,Life,Accident,Premium,No,1
CLM004982,32,98528,16.6,259740,0,56,5349,3,0,22,Frequent,Travel,Theft,Basic,Yes,1
CLM004983,72,247424,5.4,100934,2,38,42189,12,0,11,Clean,Health,Loss,Basic,Yes,1
CLM004984,36,239731,2.2,103850,1,25,2942,17,1,24,Minor,Travel,Loss,Basic,Yes,0
CLM004985,44,246624,12.6,214938,1,19,6242,14,0,9,Minor,Travel,Damage,Standard,Yes,0
CLM004986,58,242553,12.7,263058,0,30,16358,14,2,22,Clean,Life,Loss,Standard,Yes,1
CLM004987,53,66153,5.9,117073,1,21,38987,4,1,27,Clean,Property,Accident,Basic,No,0
CLM004988,30,48268,13.0,35188,0,14,22799,7,0,5,Minor,Life,Medical,Standard,Yes,0
CLM004989,50,29817,19.6,24342,0,2,47022,15,2,23,Clean,Travel,Damage,Premium,Yes,0
CLM004990,30,25977,12.2,205248,1,45,37179,3,0,1,Minor,Health,Medical,Premium,Yes,0
CLM004991,31,195592,0.9,22772,4,24,22818,18,0,8,Clean,Vehicle,Theft,Basic,Yes,1
CLM004992,77,209823,19.4,148701,1,0,1622,13,0,28,Clean,Health,Accident,Premium,No,0
CLM004993,42,169014,12.1,132244,0,57,46479,18,1,24,Minor,Property,Accident,Premium,No,1
CLM004994,30,248530,8.2,216012,3,31,1423,7,0,0,Minor,Vehicle,Theft,Basic,Yes,1
CLM004995,61,39527,6.5,210521,3,25,37244,6,2,14,Minor,Vehicle,Medical,Basic,Yes,1
CLM004996,40,188215,14.0,139733,1,50,13637,0,1,3,Minor,Vehicle,Theft,Basic,Yes,1
CLM004997,47,80394,13.5,199735,3,36,49861,7,2,10,Minor,Travel,Theft,Basic,Yes,1
CLM004998,42,226781,14.0,152993,1,20,22817,8,2,13,Clean,Vehicle,Loss,Premium,Yes,0
CLM004999,62,130355,13.5,177451,0,36,12417,0,2,30,Clean,Life,Damage,Standard,Yes,1
CLM005000,47,152428,12.8,151073,1,22,2171,3,1,28,Clean,Health,Medical,Basic,Yes,1
CLM005001,40,228965,5.2,82260,2,32,38304,7,0,10,Minor,Health,Theft,Basic,No,1
CLM005002,75,230751,15.1,62033,4,7,39499,15,0,19,Minor,Vehicle,Medical,Basic,Yes,0
CLM005003,52,189354,11.8,126230,0,59,34010,17,1,3,Minor,Vehicle,Accident,Premium,Yes,1
CLM005004,73,199209,1.7,183781,0,44,19276,14,0,23,Clean,Travel,Medical,Basic,Yes,1
CLM005005,67,164119,5.4,116228,1,55,30154,16,1,29,Clean,Life,Loss,Premium,Yes,1
CLM005006,56,142733,6.1,275598,1,44,6886,4,0,1,Minor,Travel,Loss,Standard,Yes,1
CLM005007,59,236344,5.3,3559,3,60,42932,4,0,9,Minor,Health,Damage,Basic,Yes,0
CLM005008,66,71520,4.0,39664,1,44,44833,2,2,8,Minor,Health,Damage,Standard,Yes,0
CLM005009,47,39522,2.5,206691,0,13,12895,3,3,26,Minor,Travel,Medical,Premium,Yes,1
CLM005010,58,82767,16.7,132660,2,18,41236,3,3,5,Frequent,Life,Accident,Basic,Yes,1
