DeltaPower,ThetaPower,AlphaPower,BetaPower,GammaPower,MeanAmplitude,PeakFrequency,SignalEntropy,SignalVariance,BrainState
35.96,29.387,24.203,11.424,6.904,6.396,6.82,1.348,0.509,Drowsy
21.45,20.606,31.036,27.948,14.212,9.523,13.049,2.049,0.538,Focused
21.105,18.799,37.436,33.758,13.165,10.726,12.812,2.096,0.571,Focused
38.218,27.534,29.639,21.462,8.946,6.76,9.728,1.844,0.605,Normal
30.185,24.872,27.285,21.831,10.395,8.482,10.506,1.994,0.577,Normal
23.814,21.168,32.931,31.862,13.107,8.648,14.416,2.401,0.51,Focused
21.603,17.294,33.246,27.499,14.78,10.174,14.38,1.994,0.631,Focused
46.304,35.23,29.586,11.883,6.153,2.871,5.234,1.335,0.563,Drowsy
15.956,15.65,24.81,38.69,21.404,15.422,20.199,2.216,0.693,Stressed
34.215,22.734,35.209,22.519,11.238,5.772,10.32,1.907,0.555,Normal
18.98,14.299,22.2,34.714,21.757,16.511,18.028,2.296,0.795,Stressed
38.582,25.396,26.953,20.301,11.236,7.498,9.516,1.685,0.575,Normal
19.985,18.082,41.116,31.196,15.803,14.546,13.057,1.934,0.638,Focused
19.008,16.152,23.17,40.878,17.62,15.158,18.181,2.22,0.76,Stressed
36.98,29.42,34.844,26.206,9.387,6.516,9.849,1.807,0.616,Normal
25.843,19.522,41.598,32.322,16.37,11.615,12.967,2.268,0.662,Focused
30.365,24.518,35.011,24.424,8.115,6.516,11.129,1.682,0.537,Normal
23.021,20.357,47.176,35.931,14.419,12.568,14.174,2.103,0.599,Focused
20.989,17.733,36.187,27.453,13.328,11.404,13.946,2.122,0.58,Focused
24.313,21.181,35.246,31.119,11.246,10.411,15.196,2.044,0.658,Focused
38.86,23.164,30.963,22.849,9.198,9.488,9.79,1.709,0.582,Normal
16.803,19.415,41.697,28.184,14.706,9.715,14.117,1.948,0.512,Focused
58.28,30.048,24.325,10.663,9.466,4.39,6.485,1.55,0.516,Drowsy
40.241,22.06,31.004,19.795,12.574,6.219,10.372,1.876,0.575,Normal
20.052,18.392,40.099,32.748,12.287,11.31,15.755,2.154,0.678,Focused
34.492,25.208,26.805,20.845,10.867,7.441,12.072,1.752,0.563,Normal
43.913,26.973,24.53,20.722,11.52,6.938,10.533,1.893,0.494,Normal
21.901,21.12,24.28,45.36,20.557,15.748,17.589,2.423,0.732,Stressed
30.515,26.737,36.158,21.724,9.797,8.105,11.394,1.689,0.564,Normal
23.31,16.844,40.332,39.431,15.37,10.928,13.78,2.057,0.691,Focused
17.991,15.921,26.159,30.328,20.802,14.565,16.994,2.311,0.687,Stressed
37.445,23.348,26.546,21.017,11.306,10.827,11.852,1.741,0.483,Normal
48.436,28.444,28.818,10.316,6.394,10.17,5.754,1.338,0.524,Drowsy
37.345,24.219,31.94,19.569,10.203,5.879,9.867,1.692,0.506,Normal
31.627,28.299,29.024,21.944,9.103,4.364,11.061,1.888,0.533,Normal
39.33,26.682,26.979,21.184,10.398,9.463,9.425,1.778,0.484,Normal
41.301,28.512,25.097,14.106,6.756,7.609,8.715,1.672,0.497,Drowsy
19.428,19.519,32.038,25.864,12.942,12.098,13.764,2.044,0.623,Focused
34.899,24.57,29.48,20.486,9.344,7.951,9.348,1.714,0.556,Normal
19.305,15.213,23.796,40.437,20.258,16.497,18.772,2.649,0.832,Stressed
20.686,16.682,18.789,43.05,19.718,14.317,18.294,2.457,0.742,Stressed
35.728,24.703,29.196,25.933,8.079,6.757,9.876,1.603,0.539,Normal
31.226,24.081,29.967,24.867,10.57,7.962,10.981,1.967,0.583,Normal
18.418,18.515,23.786,39.114,21.422,15.149,17.532,2.462,0.661,Stressed
31.217,25.839,28.817,23.592,9.347,7.756,10.049,1.68,0.594,Normal
30.919,20.027,27.744,24.277,11.144,8.77,10.87,1.862,0.512,Normal
22.129,14.769,23.237,35.667,26.476,15.363,16.979,2.504,0.746,Stressed
42.477,25.131,20.249,12.595,6.82,6.569,7.829,1.532,0.519,Drowsy
37.31,21.211,30.379,18.478,9.278,8.48,8.088,1.853,0.549,Normal
16.1,14.425,23.358,41.354,19.633,15.65,20.116,2.339,0.597,Stressed
16.751,15.851,23.832,43.967,17.442,14.923,20.294,2.54,0.781,Stressed
34.904,21.122,28.183,24.219,10.656,7.642,9.56,1.753,0.495,Normal
31.753,24.071,31.793,25.831,11.151,11.23,9.079,1.905,0.561,Normal
44.542,30.503,25.22,13.395,7.812,6.741,6.565,1.589,0.474,Drowsy
38.531,22.12,28.394,17.012,9.457,4.364,8.099,1.891,0.597,Normal
39.382,26.694,28.968,11.756,7.067,7.138,7.836,1.533,0.467,Drowsy
32.267,22.597,27.867,19.719,10.058,6.754,10.325,1.794,0.536,Normal
19.059,18.559,38.97,35.006,13.276,11.612,14.661,2.153,0.57,Focused
23.5,15.733,44.213,38.3,19.295,9.315,14.291,1.85,0.653,Focused
13.449,13.266,24.514,30.57,16.445,14.996,17.348,2.639,0.81,Stressed
20.87,17.57,21.369,41.474,19.877,15.938,17.732,2.363,0.782,Stressed
31.754,23.318,28.253,22.216,12.778,5.199,10.824,1.606,0.522,Normal
19.44,18.239,35.144,33.897,9.204,9.715,12.649,2.069,0.588,Focused
62.682,31.912,25.447,13.701,8.969,7.306,8.139,1.516,0.472,Drowsy
29.702,31.005,25.875,9.565,6.178,10.133,6.633,1.588,0.441,Drowsy
44.403,32.689,25.094,12.994,7.914,7.037,7.328,1.38,0.48,Drowsy
51.095,32.312,19.917,13.45,6.521,5.463,10.165,1.536,0.457,Drowsy
20.228,16.745,21.206,33.506,20.357,14.743,18.105,2.398,0.855,Stressed
20.452,18.484,41.259,24.128,15.947,10.496,14.511,2.244,0.538,Focused
29.969,29.658,30.127,20.153,10.257,7.832,9.735,1.874,0.595,Normal
49.263,32.851,23.288,13.228,5.967,8.178,7.017,1.428,0.462,Drowsy
51.671,35.819,20.822,11.95,5.642,5.656,6.702,1.575,0.483,Drowsy
17.316,18.639,26.323,25.873,17.59,16.417,18.182,2.277,0.662,Stressed
18.697,13.381,22.468,42.404,17.642,17.408,19.469,2.211,0.644,Stressed
21.05,15.136,36.115,32.999,12.381,9.564,14.413,2.094,0.622,Focused
20.546,18.517,26.489,41.469,19.445,13.212,20.332,2.309,0.74,Stressed
36.815,29.986,20.23,11.043,6.242,7.214,7.14,1.346,0.533,Drowsy
48.252,33.441,23.547,11.934,6.986,7.025,7.709,1.474,0.484,Drowsy
18.541,17.552,23.239,36.284,18.554,15.003,16.729,2.34,0.669,Stressed
44.742,28.303,27.155,11.773,6.461,8.498,5.973,1.504,0.519,Drowsy
24.069,16.534,36.549,29.0,13.564,13.398,14.963,2.203,0.535,Focused
39.866,21.636,33.468,23.09,10.986,10.845,9.706,1.71,0.497,Normal
46.121,25.157,24.157,12.728,7.443,3.15,6.846,1.334,0.534,Drowsy
17.823,15.969,35.443,24.181,14.08,10.626,11.993,2.149,0.663,Focused
47.77,24.945,24.597,12.748,8.406,5.116,5.101,1.598,0.397,Drowsy
23.876,18.927,39.731,29.865,13.781,13.504,12.869,2.294,0.601,Focused
19.292,20.378,42.84,34.043,14.608,13.642,14.0,1.958,0.647,Focused
31.827,22.239,24.936,19.563,8.378,6.536,11.264,1.686,0.708,Normal
32.463,24.249,29.44,25.083,10.305,8.506,9.506,1.741,0.524,Normal
48.118,24.724,19.693,12.528,6.678,6.303,6.979,1.383,0.477,Drowsy
19.931,16.508,33.822,28.806,13.887,9.926,14.818,2.278,0.585,Focused
20.923,15.849,40.969,35.296,13.606,11.057,12.262,2.064,0.617,Focused
22.033,24.196,30.391,36.066,13.71,12.158,14.53,2.012,0.634,Focused
18.84,19.93,42.072,39.026,13.312,12.068,16.738,2.026,0.528,Focused
21.835,18.525,36.658,37.209,13.663,11.348,15.375,2.007,0.714,Focused
21.125,16.678,33.052,28.83,18.954,12.867,12.379,1.941,0.649,Focused
36.082,23.786,23.092,21.93,10.072,11.695,9.769,1.836,0.548,Normal
43.663,20.926,30.087,25.728,9.904,8.679,8.725,1.851,0.539,Normal
27.507,15.808,36.352,33.599,13.909,9.527,15.346,2.378,0.632,Focused
14.793,17.168,27.876,39.162,23.264,14.715,19.02,2.134,0.845,Stressed
62.405,26.2,23.939,10.225,7.8,8.534,9.004,1.647,0.468,Drowsy
31.568,25.899,33.375,17.756,9.085,6.846,8.872,1.9,0.538,Normal
52.3,31.172,31.827,10.773,7.435,5.206,5.957,1.499,0.488,Drowsy
17.025,15.749,24.843,30.974,16.233,14.045,18.249,2.371,0.789,Stressed
50.193,27.057,25.964,8.539,8.17,7.008,5.199,1.323,0.58,Drowsy
53.347,28.212,21.54,12.386,6.308,5.223,8.59,1.599,0.489,Drowsy
49.036,33.016,24.694,10.787,7.631,6.982,8.166,1.498,0.444,Drowsy
43.708,29.622,26.838,11.963,6.818,6.088,6.275,1.459,0.355,Drowsy
36.801,25.996,30.635,21.031,9.007,8.129,8.713,1.449,0.576,Normal
44.722,27.13,25.123,12.626,6.669,6.807,7.368,1.38,0.511,Drowsy
53.908,39.511,26.794,12.071,7.607,5.452,9.866,1.522,0.464,Drowsy
43.285,33.932,23.356,10.076,7.608,7.936,10.105,1.356,0.522,Drowsy
16.086,10.528,25.568,49.86,20.355,12.876,17.229,2.345,0.639,Stressed
19.855,17.894,37.269,33.27,16.438,12.319,12.707,2.265,0.639,Focused
36.658,20.556,31.601,25.159,9.268,7.799,10.018,1.706,0.589,Normal
26.726,26.571,25.64,23.929,10.017,6.569,9.512,1.882,0.556,Normal
53.609,31.076,22.68,14.734,7.073,4.446,8.028,1.548,0.504,Drowsy
17.006,17.978,22.905,38.057,22.719,17.396,18.774,2.321,0.669,Stressed
50.3,38.972,24.175,11.542,7.098,7.607,5.192,1.264,0.445,Drowsy
19.297,17.396,33.602,33.943,12.777,14.248,15.429,2.126,0.682,Focused
23.12,18.085,31.452,26.947,14.472,7.801,15.215,2.081,0.815,Focused
33.929,28.331,20.457,24.882,11.495,4.89,9.589,1.755,0.466,Normal
32.968,23.077,31.527,23.38,9.312,7.963,12.571,2.007,0.576,Normal
42.765,36.064,27.527,12.033,8.135,3.731,5.403,1.239,0.438,Drowsy
15.57,13.91,25.617,42.702,19.669,16.17,16.591,2.357,0.799,Stressed
25.223,16.106,45.807,25.289,14.73,11.713,13.045,2.151,0.697,Focused
30.711,26.04,30.878,20.511,8.464,9.309,10.78,1.788,0.661,Normal
35.16,24.346,32.209,19.3,9.691,5.497,10.479,1.878,0.521,Normal
20.817,16.505,29.022,32.397,17.431,11.416,13.973,2.139,0.619,Focused
29.738,30.758,23.535,14.293,7.016,4.217,6.94,1.374,0.508,Drowsy
17.96,21.52,36.301,31.068,10.825,10.318,12.752,2.027,0.612,Focused
20.961,18.386,43.605,34.316,12.571,14.728,14.318,2.253,0.611,Focused
33.235,23.188,25.16,19.575,8.795,6.848,9.958,1.828,0.643,Normal
17.166,14.242,24.719,28.285,19.558,14.691,16.363,2.289,0.749,Stressed
32.833,24.277,28.336,20.853,9.629,8.333,9.426,1.951,0.496,Normal
17.064,17.161,38.868,33.725,13.144,11.052,11.014,2.021,0.647,Focused
15.979,13.934,20.765,49.819,21.273,15.457,16.731,2.475,0.693,Stressed
13.883,15.83,30.367,43.864,25.257,16.324,19.233,2.637,0.723,Stressed
18.364,17.299,23.891,41.123,22.796,15.938,17.797,2.562,0.558,Stressed
46.722,25.141,30.305,12.461,5.818,5.337,7.133,1.705,0.414,Drowsy
43.383,28.75,27.312,10.482,7.359,3.447,6.326,1.46,0.58,Drowsy
57.213,32.531,26.6,12.238,5.839,5.275,8.01,1.374,0.328,Drowsy
36.215,31.071,27.704,20.598,9.252,7.167,9.235,1.943,0.635,Normal
34.015,19.924,28.486,21.095,9.037,7.758,10.485,2.026,0.56,Normal
24.53,18.112,39.045,36.125,14.377,12.356,13.643,2.257,0.639,Focused
36.772,22.619,27.218,12.73,6.952,3.907,6.151,1.468,0.384,Drowsy
42.88,26.737,27.923,19.628,10.59,6.02,12.198,1.942,0.522,Normal
44.197,21.672,26.977,20.418,7.451,7.211,9.089,1.818,0.571,Normal
20.393,16.857,33.182,36.697,13.565,11.529,13.316,1.882,0.636,Focused
34.986,23.51,28.368,23.838,11.146,8.133,11.773,1.663,0.538,Normal
23.437,19.827,40.344,30.229,15.271,8.908,15.265,1.957,0.637,Focused
18.306,16.912,27.372,32.055,21.403,14.598,18.2,2.527,0.628,Stressed
47.609,31.554,27.219,15.704,5.11,6.913,6.331,1.43,0.443,Drowsy
16.134,15.757,21.378,43.337,19.098,13.043,18.53,2.228,0.65,Stressed
36.548,22.867,30.103,25.375,10.229,8.07,8.368,1.89,0.589,Normal
19.439,17.141,43.644,33.458,12.374,10.535,13.263,2.015,0.679,Focused
32.287,21.698,28.262,19.483,10.147,10.437,10.388,1.77,0.532,Normal
16.515,17.308,45.494,33.385,12.549,10.953,14.022,2.157,0.538,Focused
19.373,17.608,28.073,32.685,16.4,8.789,13.297,2.139,0.695,Focused
17.582,17.43,25.849,38.703,20.523,13.763,18.844,2.391,0.683,Stressed
21.23,15.454,18.32,41.383,16.535,15.667,18.494,2.287,0.767,Stressed
47.341,30.532,22.715,12.303,8.285,4.833,8.406,1.68,0.431,Drowsy
38.797,17.195,26.365,23.635,12.469,8.031,9.126,1.778,0.632,Normal
21.915,19.384,38.561,31.566,11.817,11.349,13.092,1.837,0.692,Focused
18.172,8.634,27.562,37.406,18.076,14.402,17.464,2.473,0.606,Stressed
16.68,14.986,27.897,24.539,20.949,15.051,15.983,2.437,0.729,Stressed
21.493,14.521,27.293,40.887,20.605,12.045,15.357,2.374,0.715,Stressed
47.087,26.695,25.277,9.747,7.12,7.307,5.499,1.316,0.575,Drowsy
19.875,17.163,36.114,30.166,11.891,10.809,13.327,1.748,0.743,Focused
19.325,18.185,19.907,48.411,13.979,13.847,17.449,2.47,0.713,Stressed
18.341,17.574,23.437,41.427,24.001,11.814,18.496,2.656,0.717,Stressed
23.314,19.438,39.922,35.222,12.963,10.163,12.68,2.153,0.667,Focused
51.949,29.49,28.499,12.765,5.17,5.206,6.326,1.558,0.323,Drowsy
24.741,14.718,25.085,30.268,14.927,12.8,13.444,2.051,0.689,Focused
41.51,21.744,28.841,24.148,8.523,8.341,11.569,1.607,0.561,Normal
21.537,19.444,38.447,36.976,12.792,12.118,13.766,2.092,0.626,Focused
16.125,17.07,26.158,37.132,16.411,14.982,17.793,2.348,0.727,Stressed
34.315,21.855,27.569,21.618,9.049,7.538,7.728,1.826,0.55,Normal
28.435,26.543,29.72,21.524,13.832,8.448,9.098,1.749,0.619,Normal
18.262,15.041,25.927,48.972,18.19,12.502,15.598,2.382,0.66,Stressed
35.244,20.708,31.288,23.48,11.3,9.581,8.347,1.687,0.581,Normal
19.486,16.538,34.477,35.188,15.513,11.677,15.42,1.959,0.72,Focused
52.974,30.617,28.458,10.247,7.393,4.245,5.663,1.424,0.423,Drowsy
21.007,16.042,24.913,43.888,18.26,15.081,18.151,2.285,0.839,Stressed
22.838,17.281,37.574,29.967,11.456,11.482,16.106,2.102,0.634,Focused
21.482,18.652,38.8,24.92,12.504,10.904,14.644,1.836,0.61,Focused
50.898,28.853,21.911,11.822,7.26,5.016,6.717,1.387,0.547,Drowsy
22.589,10.674,23.483,48.283,20.292,16.13,18.12,2.32,0.565,Stressed
40.926,23.716,30.068,23.87,10.28,9.43,10.345,1.727,0.572,Normal
62.385,30.166,23.077,16.067,5.892,6.03,7.216,1.661,0.502,Drowsy
30.807,26.835,29.23,21.869,10.81,6.316,10.459,1.82,0.58,Normal
46.929,24.242,31.831,10.222,6.133,5.34,8.546,1.502,0.406,Drowsy
36.176,20.759,38.805,22.341,10.131,9.089,10.577,1.827,0.503,Normal
48.653,31.652,24.435,11.851,6.82,7.455,7.503,1.526,0.404,Drowsy
15.042,18.007,39.495,35.549,12.297,11.129,12.889,2.131,0.566,Focused
14.602,13.979,26.864,41.223,19.691,14.236,18.582,2.298,0.718,Stressed
25.499,14.961,40.672,29.171,11.622,11.328,15.211,1.999,0.53,Focused
39.368,22.256,36.574,23.79,9.415,11.236,9.273,1.889,0.568,Normal
31.733,20.802,36.308,24.47,11.526,9.083,8.645,1.737,0.579,Normal
47.234,25.245,31.429,11.324,7.133,7.734,6.27,1.379,0.495,Drowsy
21.791,16.749,35.807,34.673,13.13,10.868,16.604,1.929,0.509,Focused
38.659,20.124,30.455,27.119,8.8,6.983,10.617,1.822,0.571,Normal
17.759,21.779,44.299,27.038,15.159,10.246,14.316,2.135,0.606,Focused
35.094,25.576,25.749,24.942,10.858,9.077,10.526,1.802,0.59,Normal
22.523,16.688,36.156,29.365,11.593,11.219,14.702,2.162,0.669,Focused
36.095,22.415,27.582,21.933,11.407,8.815,9.555,1.893,0.379,Normal
15.873,17.097,21.916,46.08,17.669,14.83,17.334,2.281,0.744,Stressed
51.953,26.98,25.204,9.091,8.211,5.231,7.067,1.463,0.549,Drowsy
19.166,15.373,20.628,40.971,16.263,15.06,16.293,2.455,0.645,Stressed
51.112,30.804,21.405,13.561,7.177,6.298,6.989,1.438,0.493,Drowsy
33.975,26.777,34.282,18.759,10.717,9.052,9.643,1.965,0.541,Normal
34.275,26.545,32.348,17.838,11.772,10.07,9.249,1.847,0.58,Normal
25.761,17.802,33.952,35.831,13.518,12.139,13.65,2.093,0.65,Focused
48.303,27.279,26.081,11.688,6.211,7.999,8.115,1.427,0.51,Drowsy
31.188,22.339,32.719,23.322,8.827,8.149,10.902,1.6,0.583,Normal
14.276,17.332,27.36,44.278,19.51,14.564,18.533,2.498,0.736,Stressed
15.672,16.659,25.794,43.079,18.111,13.533,17.392,2.429,0.789,Stressed
19.613,14.654,39.176,36.239,14.798,10.996,13.293,1.969,0.67,Focused
19.036,16.018,42.641,33.043,14.926,11.511,14.469,1.941,0.683,Focused
36.396,21.844,35.584,22.305,11.415,8.101,12.473,2.011,0.535,Normal
16.384,17.786,35.251,33.66,14.79,9.939,13.145,2.087,0.566,Focused
40.769,23.604,33.43,26.256,11.578,10.46,10.891,1.809,0.454,Normal
19.926,15.703,18.778,39.907,20.244,16.751,19.906,2.318,0.748,Stressed
18.444,14.511,21.695,37.605,24.188,18.607,18.261,2.344,0.629,Stressed
44.23,22.622,26.121,14.096,6.504,6.66,5.118,1.555,0.456,Drowsy
17.493,15.588,43.635,31.401,13.079,11.24,14.602,2.234,0.707,Focused
20.553,22.155,34.468,25.514,13.208,8.037,14.901,1.852,0.622,Focused
43.56,25.398,22.314,10.075,8.123,8.323,7.384,1.647,0.488,Drowsy
21.115,18.739,45.087,35.279,14.697,11.695,14.052,2.167,0.468,Focused
23.829,15.258,45.763,32.777,16.742,9.9,16.182,2.193,0.653,Focused
17.925,17.739,30.755,33.28,19.751,13.229,19.91,2.329,0.613,Stressed
35.013,25.258,34.286,24.507,8.218,4.169,11.121,1.636,0.537,Normal
45.094,23.834,30.724,24.774,11.327,9.781,10.766,1.663,0.648,Normal
19.581,18.409,26.306,49.887,21.341,14.765,18.412,2.549,0.653,Stressed
34.737,26.751,26.451,23.331,9.364,6.811,9.872,1.676,0.517,Normal
20.676,20.107,40.351,35.757,14.877,9.344,13.603,2.006,0.7,Focused
15.127,12.179,24.957,38.193,20.759,15.876,19.541,2.219,0.667,Stressed
35.807,23.11,30.481,21.597,10.85,9.435,9.057,1.64,0.44,Normal
17.853,20.928,35.214,33.937,11.374,9.231,15.722,2.058,0.707,Focused
23.595,22.976,31.254,36.835,15.926,9.54,15.209,2.14,0.606,Focused
47.438,31.18,27.857,10.832,7.308,4.889,8.038,1.518,0.498,Drowsy
16.091,13.419,35.233,33.758,9.384,10.25,13.369,2.267,0.597,Focused
31.574,23.778,31.228,22.73,10.993,8.02,11.744,1.768,0.713,Normal
20.955,19.776,23.887,45.999,17.464,16.613,19.257,2.504,0.699,Stressed
15.885,16.314,27.785,35.446,22.547,14.35,20.104,2.356,0.65,Stressed
19.955,15.566,28.137,36.621,17.469,14.899,17.901,2.492,0.654,Stressed
22.825,20.576,32.264,34.809,14.992,10.787,14.406,2.224,0.672,Focused
51.57,23.119,25.279,11.325,6.363,8.026,6.216,1.403,0.485,Drowsy
58.946,33.683,29.931,12.563,7.981,4.914,6.227,1.171,0.551,Drowsy
36.029,22.54,28.304,22.613,8.262,5.889,9.138,1.774,0.569,Normal
34.85,19.348,34.193,20.061,9.028,8.301,11.378,1.678,0.554,Normal
36.984,28.274,31.28,21.174,9.999,6.124,10.725,1.906,0.523,Normal
15.703,17.962,20.959,34.96,17.817,16.139,17.26,2.238,0.664,Stressed
44.844,29.229,27.511,11.538,5.668,7.71,5.995,1.493,0.507,Drowsy
20.109,13.826,20.835,43.3,19.787,14.319,19.068,2.327,0.688,Stressed
18.357,16.024,28.715,33.129,16.915,12.576,18.447,2.42,0.793,Stressed
40.467,28.497,30.115,20.011,10.552,6.983,12.416,1.816,0.528,Normal
25.23,20.368,35.147,26.934,13.659,9.8,13.924,2.248,0.593,Focused
44.715,25.755,25.102,10.286,7.778,5.863,6.787,1.579,0.538,Drowsy
45.488,29.073,24.791,12.992,6.426,5.589,6.983,1.518,0.486,Drowsy
42.67,23.68,22.915,12.681,6.41,5.643,7.56,1.562,0.415,Drowsy
35.975,24.844,27.428,26.926,10.569,6.213,10.788,1.683,0.597,Normal
35.527,23.502,30.056,19.106,8.272,10.392,8.984,1.681,0.421,Normal
21.241,18.621,37.792,30.371,13.043,11.494,12.179,2.19,0.595,Focused
23.379,18.904,44.391,34.498,11.475,12.578,12.802,2.054,0.635,Focused
50.339,29.154,22.319,13.149,5.426,6.969,5.681,1.65,0.49,Drowsy
18.448,16.856,25.22,32.297,17.302,15.154,15.975,2.5,0.752,Stressed
39.65,23.653,22.178,24.237,9.358,7.864,10.398,1.823,0.593,Normal
41.611,20.47,24.728,22.593,11.257,10.526,9.449,1.929,0.548,Normal
45.896,23.984,31.108,12.675,6.587,7.992,5.833,1.549,0.47,Drowsy
53.622,35.038,23.114,11.6,6.13,5.695,6.956,1.579,0.545,Drowsy
35.476,19.858,33.309,20.236,12.248,9.62,9.463,1.954,0.554,Normal
26.127,16.232,44.988,33.919,11.649,11.551,11.48,2.175,0.673,Focused
16.378,13.788,24.314,41.853,17.176,16.392,15.875,2.331,0.685,Stressed
45.479,30.655,26.318,11.858,5.485,6.497,7.437,1.418,0.403,Drowsy
50.831,25.596,29.274,14.234,7.741,4.858,6.633,1.517,0.438,Drowsy
44.476,34.089,24.538,11.767,7.368,4.674,7.159,1.454,0.401,Drowsy
18.714,16.163,25.975,41.502,20.158,14.597,18.098,2.458,0.716,Stressed
51.591,32.532,31.465,11.546,6.21,6.369,6.037,1.678,0.463,Drowsy
18.449,16.255,19.383,31.289,20.71,15.203,17.489,2.201,0.728,Stressed
37.616,20.925,29.487,22.318,10.617,9.067,8.65,1.616,0.627,Normal
18.642,15.996,24.403,40.259,16.817,15.836,18.759,2.482,0.757,Stressed
44.093,22.147,33.34,22.151,10.322,10.293,10.609,1.865,0.614,Normal
16.187,18.635,24.409,36.77,21.591,16.34,18.77,2.276,0.671,Stressed
22.936,23.921,36.38,26.386,9.451,7.097,10.563,1.68,0.568,Normal
36.092,26.252,25.547,18.514,10.626,8.445,10.301,1.842,0.509,Normal
55.547,29.223,27.812,14.354,8.102,4.362,6.696,1.459,0.509,Drowsy
33.868,26.067,35.408,22.196,11.954,5.93,7.956,1.793,0.573,Normal
14.798,14.557,28.378,40.629,22.124,18.077,17.167,2.388,0.684,Stressed
16.379,11.849,25.32,34.697,22.373,14.428,18.724,2.568,0.627,Stressed
31.214,31.884,21.339,9.095,4.621,7.221,7.154,1.473,0.563,Drowsy
18.963,12.693,21.925,41.975,20.985,16.822,17.826,2.449,0.701,Stressed
21.948,17.768,43.564,27.866,12.719,12.554,13.285,2.208,0.722,Focused
20.509,20.206,47.523,25.91,10.842,13.806,14.468,1.996,0.652,Focused
47.031,32.157,21.377,13.165,6.286,5.276,7.637,1.42,0.482,Drowsy
15.813,12.284,22.418,46.386,19.711,12.99,17.417,2.221,0.632,Stressed
35.772,29.185,34.46,22.554,9.41,9.211,8.832,1.857,0.58,Normal
44.005,25.826,22.709,22.492,9.206,9.279,9.049,1.786,0.58,Normal
22.026,11.888,21.985,38.995,23.492,12.545,20.323,2.416,0.694,Stressed
24.009,18.13,39.771,36.798,11.761,10.476,13.073,2.145,0.694,Focused
20.512,15.23,26.044,44.454,20.5,11.468,18.022,2.548,0.732,Stressed
25.089,18.29,38.363,34.128,12.552,11.045,11.417,2.205,0.526,Focused
34.423,25.125,29.628,22.701,9.301,4.342,9.839,1.971,0.606,Normal
32.156,26.808,29.471,19.821,9.614,8.619,9.324,1.701,0.565,Normal
18.707,13.847,27.975,49.779,20.353,15.766,18.242,2.464,0.693,Stressed
20.612,18.384,39.826,32.503,13.87,9.207,15.741,2.317,0.519,Focused
24.23,17.988,43.374,26.726,14.873,13.803,14.504,2.133,0.621,Focused
19.378,19.349,25.911,40.983,20.982,17.122,16.951,2.387,0.673,Stressed
20.384,15.262,23.817,42.317,22.601,14.5,19.824,2.144,0.746,Stressed
51.98,28.399,25.417,11.935,6.222,5.829,6.828,1.48,0.482,Drowsy
16.739,13.915,24.086,36.927,23.561,13.898,16.321,2.142,0.698,Stressed
39.096,25.443,30.682,24.643,6.756,9.017,9.215,1.58,0.581,Normal
16.92,17.043,23.326,39.059,20.983,14.105,19.792,2.381,0.737,Stressed
20.247,14.044,23.344,35.488,19.073,16.523,18.13,2.713,0.712,Stressed
52.4,29.809,23.347,12.242,7.794,6.751,5.946,1.589,0.442,Drowsy
18.415,16.533,24.922,39.336,19.094,19.737,19.088,2.45,0.686,Stressed
20.048,15.413,20.439,46.117,19.771,17.595,15.305,2.423,0.815,Stressed
41.788,29.369,26.198,12.519,7.424,6.436,6.392,1.438,0.408,Drowsy
15.477,15.37,27.19,42.72,21.546,15.22,18.628,2.304,0.681,Stressed
40.417,25.939,29.502,18.768,9.749,6.724,9.303,1.871,0.65,Normal
18.567,14.494,22.644,45.382,23.84,17.292,18.908,2.37,0.506,Stressed
33.138,21.452,29.377,26.519,8.354,5.58,11.765,1.775,0.51,Normal
20.494,20.545,22.912,33.803,19.023,15.021,18.677,2.329,0.793,Stressed
22.84,16.915,23.559,46.793,24.42,14.782,18.417,2.281,0.691,Stressed
21.022,18.955,28.529,38.646,22.954,13.577,16.912,2.118,0.8,Stressed
37.405,28.03,33.329,22.157,9.224,9.047,10.472,1.907,0.588,Normal
39.453,31.948,31.413,20.656,9.969,5.346,9.166,1.751,0.519,Normal
44.119,33.447,16.862,11.785,5.798,5.285,6.641,1.457,0.447,Drowsy
36.584,28.509,29.763,20.534,12.257,5.828,7.361,1.853,0.52,Normal
25.441,19.266,36.119,32.988,13.596,11.012,13.609,2.08,0.633,Focused
20.686,16.311,34.536,25.199,14.792,8.253,12.526,1.851,0.615,Focused
19.932,14.529,23.238,41.756,15.34,11.423,18.415,2.459,0.824,Stressed
45.64,32.82,20.589,10.182,6.348,6.118,6.231,1.579,0.542,Drowsy
22.425,12.879,22.396,40.157,22.73,15.599,18.373,2.265,0.631,Stressed
40.253,26.9,29.132,13.469,6.695,7.282,7.409,1.68,0.484,Drowsy
37.004,24.221,25.381,24.63,9.407,5.665,9.486,1.98,0.601,Normal
36.307,32.867,34.03,21.662,8.853,5.59,10.244,1.709,0.465,Normal
35.77,23.956,32.085,22.316,8.832,9.795,9.81,1.797,0.494,Normal
24.017,14.668,35.115,34.29,12.934,10.646,14.893,2.151,0.636,Focused
17.34,18.013,21.586,37.118,21.424,15.005,18.702,2.429,0.729,Stressed
27.656,27.756,24.015,24.726,11.352,6.364,9.507,1.667,0.537,Normal
51.71,30.295,19.743,10.761,7.565,6.25,8.417,1.548,0.422,Drowsy
